"year","ff220a","ff220b","ff230a","ff230b","ff251a","ff256a","ff256b","ff259a","ff259b","ff263a","ff263b"
954,NA,NA,NA,NA,NA,NA,NA,0.966264145450517,1.30046558729282,NA,NA
955,NA,NA,NA,NA,NA,NA,NA,0.914438426268328,1.15091516087185,NA,NA
956,NA,NA,NA,NA,NA,NA,NA,0.956666018433961,1.17219990942223,NA,NA
957,NA,NA,NA,NA,NA,NA,NA,1.06392710635715,1.12112632738797,NA,NA
958,NA,NA,NA,NA,NA,NA,NA,1.02535963478659,1.14401065707849,NA,NA
959,NA,NA,NA,NA,NA,NA,NA,1.0446844302387,1.01558244698709,NA,NA
960,NA,NA,NA,NA,NA,NA,NA,1.04536008025512,0.746034699957453,NA,NA
961,NA,NA,NA,NA,NA,NA,NA,0.904939106918474,0.884720644834407,NA,NA
962,NA,NA,NA,NA,NA,NA,NA,0.952042642776792,0.916335217687244,NA,NA
963,NA,NA,NA,NA,NA,NA,NA,0.992682114306058,0.965600752422597,NA,NA
964,NA,NA,NA,NA,NA,NA,NA,1.03859354742215,0.991982482837809,NA,NA
965,NA,NA,NA,NA,NA,NA,NA,0.992563212919844,0.832838746421143,NA,NA
966,NA,NA,NA,NA,NA,NA,NA,1.03833700321888,0.895086381662592,NA,NA
967,NA,NA,NA,NA,NA,NA,NA,0.97095929427221,0.735891040716551,NA,NA
968,NA,NA,NA,NA,NA,NA,NA,0.919919493389981,0.850879701108777,NA,NA
969,NA,NA,NA,NA,NA,NA,NA,1.05337374148124,0.908183149517085,NA,NA
970,NA,NA,NA,NA,NA,NA,NA,0.973615404455509,0.966069763411512,NA,NA
971,NA,NA,NA,NA,NA,NA,NA,0.930469507627309,1.14296939159658,NA,NA
972,NA,NA,NA,NA,NA,NA,NA,0.985297505713401,1.09225938440962,NA,NA
973,NA,NA,NA,NA,NA,NA,NA,0.985005202355079,0.980948764404395,NA,NA
974,NA,NA,NA,NA,NA,NA,NA,0.911323513298426,0.940675297055722,NA,NA
975,NA,NA,NA,NA,NA,NA,NA,0.914448467129802,1.00130815576985,NA,NA
976,NA,NA,NA,NA,NA,NA,NA,0.951766052642395,0.908791189698928,NA,NA
977,NA,NA,NA,NA,NA,NA,NA,1.0337051918886,1.05330659807129,NA,NA
978,NA,NA,NA,NA,NA,NA,NA,1.00913719847981,0.989539302769045,NA,NA
979,NA,NA,NA,NA,NA,NA,NA,0.950497353511069,0.867062069423472,NA,NA
980,NA,NA,NA,NA,NA,NA,NA,1.0145218150424,0.92866657565575,NA,NA
981,NA,NA,NA,NA,NA,NA,NA,1.00392927146481,0.908759330038925,NA,NA
982,NA,NA,NA,NA,NA,NA,NA,1.05560406284797,1.03969200808571,NA,NA
983,NA,NA,NA,NA,NA,NA,NA,1.0392132943052,1.02209035696795,NA,NA
984,NA,NA,NA,NA,NA,NA,NA,0.923574655779516,0.803049365422,NA,NA
985,NA,NA,NA,NA,NA,NA,NA,0.930230665991747,0.691681101803503,NA,NA
986,NA,NA,NA,NA,NA,NA,NA,0.98239531865344,0.936848814898451,NA,NA
987,NA,NA,NA,NA,NA,NA,NA,1.02785732444802,0.938393610723274,NA,NA
988,NA,NA,NA,NA,NA,NA,NA,0.962725638670625,0.857642992297483,NA,NA
989,NA,NA,NA,NA,NA,NA,NA,1.04222179085783,0.971460715282869,NA,NA
