"year","ff203a","ff203b","ff207a","ff207b","ff222a","ff222b","ff225a","ff225b","ff251a","ff253a","ff253c","ff256a","ff256b","ff259a","ff259b"
937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0448920710631,NA
938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05198384888793,NA
939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07599233019752,NA
940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02290967239745,NA
941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995713311821704,NA
942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983044875810565,NA
943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05648909772575,NA
944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.961868736342256,NA
945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938905443784542,0.873451866058847
946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.970467636367999,0.885306166660348
947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977655270072479,0.938451132403857
948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972568273945842,0.844810915733303
949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97726688211894,0.886276533576001
950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.905970485566195,1.03297009203709
951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98731130911637,1.02651507010897
952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.905736436221859,1.0575401368468
953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987070745384664,1.28122216087238
954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.966259508003008,1.30038274243751
955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914433933765879,1.1508415513924
956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.956661212726859,1.17212463656266
957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06392164744647,1.12105404178161
958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0253542666637,1.14393659556186
959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0446788550644,1.01551643268909
960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04535439878838,0.745986011330563
961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.904934102571342,0.884662675631531
962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.952037290393999,0.916274942355903
963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992676445275399,0.965536993092163
964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03858752720182,0.991916736132868
965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992557377557846,0.832783345852269
966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03833081623269,0.895026628859197
967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.970953434589024,0.735841745813254
968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.919913874270053,0.850822512891833
969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05336723313695,0.908121912029106
970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.973609323390378,0.96600441800251
971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.930463636208951,1.1428918449738
972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985291227865866,1.09218505913905
973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98499886880446,0.980881822041594
974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.911317602881444,0.940610924567234
975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914442488229121,1.00123944954394
976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.951759782224433,0.908728669260631
