year,ff212a,ff212b,ff214a,ff214b,ff223a,ff223b,ff230a,ff230b,ff251a,ff258a,ff258b,ff259a,ff259b,ff263a,ff263b
877,,,,,,,,,,,,0.713154232472125,,,
878,,,,,,,,,,,,0.7849621681931666,,,
879,,,,,,,,,,,,0.7493711080274849,,,
880,,,,,,,,,,,,0.7735633547731442,,,
881,,,,,,,,,,,,0.7583964914137434,,,
882,,,,,,,,,,,,0.9989777034892398,,,
883,,,,,,,,,,,,0.5515953412571153,,,
884,,,,,,,,,,,,0.780398773183476,,,
885,,,,,,,,,,,,0.5326296982696428,,,
886,,,,,,,,,,,,0.5288025925946515,,,
887,,,,,,,,,,,,0.6763945649687675,,,
888,,,,,,,,,,,,0.7253497970661708,,,
889,,,,,,,,,,,,0.6260238040846315,,,
890,,,,,,,,,,,,0.6549888790395222,,,
891,,,,,,,,,,,,0.750102151923062,,,
892,,,,,,,,,,,,0.3407258910007745,,,
893,,,,,,,,,,,,0.41986493756462206,,,
894,,,,,,,,,,,,0.46860489938337363,,,
895,,,,,,,,,,,,0.5534170283298232,,,
896,,,,,,,,,,,,0.3094382768489492,,,
897,,,,,,,,,,,,0.34900696226228256,,,
898,,,,,,,,,,,,0.5287638335745037,,,
899,,,,,,,,,,,,0.6886047725462194,,,
900,,,,,,,,,,,,0.5740564311075868,,,
901,,,,,,,,,,,,0.5307719065497901,,,
902,,,,,,,,,,,,0.6443743035971401,,,
903,,,,,,,,,,,,0.6864131723694381,,,
904,,,,,,,,,,,,0.8974317667548389,,,
905,,,,,,,,,,,,0.8009834256924392,,,
906,,,,,,,,,,,,0.7641532478427144,,,
907,,,,,,,,,,,,0.3690857930487107,,,
908,,,,,,,,,,,,0.5700168354840535,,,
909,,,,,,,,,,,,0.5561942415363439,,,
910,,,,,,,,,,,,0.3676699470094724,,,
911,,,,,,,,,,,,0.44716378137922785,,,
912,,,,,,,,,,,,0.7651071263438146,,,
913,,,,,,,,,,,,0.41284975349823677,,,
914,,,,,,,,,,,,0.3515149799308425,,,
915,,,,,,,,,,,,0.5105900108468097,,,
916,,,,,,,,,,,,0.6523484180882323,,,
917,,,,,,,,,,,,0.6519122251783965,,,
918,,,,,,,,,,,,0.8756679069321793,,,
919,,,,,,,,,,,,0.8642296822784415,,,
920,,,,,,,,,,,,0.7349640937898663,,,
921,,,,,,,,,,,,0.6693719871374036,,,
922,,,,,,,,,,,,0.7698241659788959,,,
923,,,,,,,,,,,,0.7281290866765288,,,
924,,,,,,,,,,,,0.6107443975538577,,,
925,,,,,,,,,,,,0.5054668666293387,,,
926,,,,,,,,,,,,0.8284060922106118,,,
927,,,,,,,,,,,,0.7449859054531316,,,
928,,,,,,,,,,,,0.9309123341686587,,,
929,,,,,,,,,,,,0.8197587766217848,,,
930,,,,,,,,,,,,0.5335536465798194,,,
931,,,,,,,,,,,,0.5823903173658102,,,
932,,,,,,,,,,,,0.8357419232365492,,,
933,,,,,,,,,,,,0.7645275391611926,,,
934,,,,,,,,,,,,0.816251065583488,,,
935,,,,,,,,,,,,0.7545035665066407,,,
936,,,,,,,,,,,,0.6630947278182598,,,
937,,,,,,,,,,,,0.890608008193467,,,
938,,,,,,,,,,,,0.9304610893702132,,,
939,,,,,,,,,,,,1.0668731743082251,,,
940,,,,,,,,,,,,0.7849737156627444,,,
941,,,,,,,,,,,,0.6648281037657164,,,
942,,,,,,,,,,,,0.611439612626874,,,
943,,,,,,,,,,,,0.9388668724407495,,,
944,,,,,,,,,,,,0.530701303935836,,,
945,,,,,,,,,,,,0.4558513694694503,0.5783943189782285,,
946,,,,,,,,,,,,0.5536291336906674,0.594379547691032,,
947,,,,,,,,,,,,0.5770718719518462,0.68880387108707,,
948,,,,,,,,,,,,0.5569858401821961,0.5101975103236615,,
949,,,,,,,,,,,,0.5725713082833386,0.5737945547440415,,
950,,,,,,,,,,,,0.3614535458098879,0.86264662866012,,
951,,,,,,,,,,,,0.6063959408790447,0.8373474925665338,,
952,,,,,,,,,,,,0.3601853546939735,0.897224936833697,,
953,,,,,,,,,,,,0.6060212843262305,1.497437002591408,,
954,,,,,,,,,,,,0.5351875516800721,1.5420490614073608,,
955,,,,,,,,,,,,0.38495388778468376,1.0946143477991972,,
956,,,,,,,,,,,,0.5058828915442019,1.137666187346941,,
957,,,,,,,,,,,,0.9575729111895002,0.9999968256258251,,
958,,,,,,,,,,,,0.7639816187643315,1.0496314590363567,,
959,,,,,,,,,,,,0.8502165990722007,0.7548421339257353,,
960,,,,,,,,,,,,0.8498249130714153,0.32404700123150587,,
961,,,,,,,,,,,,0.35432090542527633,0.5134348379361664,,
962,,,,,,,,,,,,0.47727851525624115,0.5628089770944642,,
963,,,,,,,,,,,,0.6114475023081708,0.6470722177394856,,
964,,,,,,,,,,,,0.7977476180866637,0.6934842014757082,,
965,,,,,,,,,,,,0.6041433123730149,0.4288853163011853,,
966,,,,,,,,,,,,0.7910926628797437,0.521333896802965,,
967,,,,,,,,,,,,0.5261885950643677,0.30618542517935343,,
968,,,,,,,,,,,,0.378637971899589,0.4534668963453803,,
969,,,,,,,,,,,,0.8525339644940942,0.5395970926444422,,
970,,,,,,,,,,,,0.5290924828578244,0.6355299504105127,,
971,,,,,,,,,,,,0.4025982331092309,0.9968132466394413,,
972,,,,,,,,,,,,0.5690033882833226,0.877207952292758,,
973,,,,,,,,,,,,0.5682436135513497,0.6516689798287618,,
974,,,,,,,,,,,,0.35553618489038147,0.5800964024320938,,
975,,,,,,,,,,,,0.3623122106534429,0.6883641607379068,,
976,,,,,,,,,,,,0.45930019728721977,0.530128524197359,,
977,,,,,,,,,,,,0.7540210221000172,0.7929001629343693,,
978,,,,,,,,,,,,0.6506400086359458,0.6714539812407032,,
979,,,,,,,,,,,,0.4507916563713275,0.47083715804048104,,
980,,,,,,,,,,,,0.6633770355937936,0.5691973431277514,,
981,,,,,,,,,,,,0.6204073580904473,0.5397776712404132,,
982,,,,,,,,,,,,0.8342109766854043,0.7795045929000743,,
